+----------------------------+--------------------------------------------------------+------------------------------+-----+
| Mod name                   | Registry name                                          | Entity class name            |  ID |
| Animania                   | animania:bull_longhorn                                 | EntityBullLonghorn           |  55 |
| Animania                   | animania:bull_mooshroom                                | EntityBullMooshroom          |  64 |
| Animania                   | animania:calf_angus                                    | EntityCalfAngus              |  41 |
| Animania                   | animania:calf_friesian                                 | EntityCalfFriesian           |  44 |
| Animania                   | animania:calf_hereford                                 | EntityCalfHereford           |  47 |
| Animania                   | animania:calf_highland                                 | EntityCalfHighland           |  56 |
| Animania                   | animania:calf_holstein                                 | EntityCalfHolstein           |  50 |
| Animania                   | animania:calf_jersey                                   | EntityCalfJersey             |  59 |
| Animania                   | animania:calf_longhorn                                 | EntityCalfLonghorn           |  53 |
| Animania                   | animania:calf_mooshroom                                | EntityCalfMooshroom          |  62 |
| Animania                   | animania:cart                                          | EntityCart                   | 153 |
| Animania                   | animania:chick_leghorn                                 | EntityChickLeghorn           |  26 |
| Animania                   | animania:chick_orpington                               | EntityChickOrpington         |  29 |
| Animania                   | animania:chick_plymouth_rock                           | EntityChickPlymouthRock      |  32 |
| Animania                   | animania:chick_rhode_island_red                        | EntityChickRhodeIslandRed    |  35 |
| Animania                   | animania:chick_wyandotte                               | EntityChickWyandotte         |  38 |
| Animania                   | animania:cow_angus                                     | EntityCowAngus               |  42 |
| Animania                   | animania:cow_friesian                                  | EntityCowFriesian            |  45 |
| Animania                   | animania:cow_hereford                                  | EntityCowHereford            |  48 |
| Animania                   | animania:cow_highland                                  | EntityCowHighland            |  57 |
| Animania                   | animania:cow_holstein                                  | EntityCowHolstein            |  51 |
| Animania                   | animania:cow_jersey                                    | EntityCowJersey              |  60 |
| Animania                   | animania:cow_longhorn                                  | EntityCowLonghorn            |  54 |
| Animania                   | animania:cow_mooshroom                                 | EntityCowMooshroom           |  63 |
| Animania                   | animania:dartfrog                                      | EntityDartFrogs              |  67 |
| Animania                   | animania:doe_alpine                                    | EntityDoeAlpine              |  70 |
| Animania                   | animania:doe_angora                                    | EntityDoeAngora              |  73 |
| Animania                   | animania:doe_chinchilla                                | EntityRabbitDoeChinchilla    | 111 |
| Animania                   | animania:doe_cottontail                                | EntityRabbitDoeCottontail    | 108 |
| Animania                   | animania:doe_dutch                                     | EntityRabbitDoeDutch         | 114 |
| Animania                   | animania:doe_fainting                                  | EntityDoeFainting            |  76 |
| Animania                   | animania:doe_havana                                    | EntityRabbitDoeHavana        | 117 |
| Animania                   | animania:doe_jack                                      | EntityRabbitDoeJack          | 120 |
| Animania                   | animania:doe_kiko                                      | EntityDoeKiko                |  79 |
| Animania                   | animania:doe_kinder                                    | EntityDoeKinder              |  82 |
| Animania                   | animania:doe_lop                                       | EntityRabbitDoeLop           | 129 |
| Animania                   | animania:doe_new_zealand                               | EntityRabbitDoeNewZealand    | 123 |
| Animania                   | animania:doe_nigerian_dwarf                            | EntityDoeNigerianDwarf       |  85 |
| Animania                   | animania:doe_pygmy                                     | EntityDoePygmy               |  88 |
| Animania                   | animania:doe_rex                                       | EntityRabbitDoeRex           | 126 |
| Animania                   | animania:ewe_dorper                                    | EntityEweDorper              |  96 |
| Animania                   | animania:ewe_dorset                                    | EntityEweDorset              |  99 |
| Animania                   | animania:ewe_friesian                                  | EntityEweFriesian            |  90 |
| Animania                   | animania:ewe_jacob                                     | EntityEweJacob               | 105 |
| Animania                   | animania:ewe_merino                                    | EntityEweMerino              | 102 |
| Animania                   | animania:ewe_suffolk                                   | EntityEweSuffolk             |  93 |
| Animania                   | animania:ferret_grey                                   | EntityFerretGrey             |   4 |
| Animania                   | animania:ferret_white                                  | EntityFerretWhite            |   5 |
| Animania                   | animania:foal_draft                                    | EntityFoalDraftHorse         |   2 |
| Animania                   | animania:frog                                          | EntityFrogs                  |  66 |
| Animania                   | animania:hamster                                       | EntityHamster                |   3 |
| Animania                   | animania:hedgehog                                      | EntityHedgehog               |   6 |
| Animania                   | animania:hedgehog_albino                               | EntityHedgehogAlbino         |   7 |
| Animania                   | animania:hen_leghorn                                   | EntityHenLeghorn             |  27 |
| Animania                   | animania:hen_orpington                                 | EntityHenOrpington           |  30 |
| Animania                   | animania:hen_plymouth_rock                             | EntityHenPlymouthRock        |  33 |
| Animania                   | animania:hen_rhode_island_red                          | EntityHenRhodeIslandRed      |  36 |
| Animania                   | animania:hen_wyandotte                                 | EntityHenWyandotte           |  39 |
| Animania                   | animania:hog_duroc                                     | EntityHogDuroc               |  25 |
| Animania                   | animania:hog_hampshire                                 | EntityHogHampshire           |  22 |
| Animania                   | animania:hog_large_black                               | EntityHogLargeBlack          |  16 |
| Animania                   | animania:hog_large_white                               | EntityHogLargeWhite          |  19 |
| Animania                   | animania:hog_old_spot                                  | EntityHogOldSpot             |  13 |
| Animania                   | animania:hog_yorkshire                                 | EntityHogYorkshire           |  10 |
| Animania                   | animania:kid_alpine                                    | EntityKidAlpine              |  68 |
| Animania                   | animania:kid_angora                                    | EntityKidAngora              |  71 |
| Animania                   | animania:kid_fainting                                  | EntityKidFainting            |  74 |
| Animania                   | animania:kid_kiko                                      | EntityKidKiko                |  77 |
| Animania                   | animania:kid_kinder                                    | EntityKidKinder              |  80 |
| Animania                   | animania:kid_nigerian_dwarf                            | EntityKidNigerianDwarf       |  83 |
| Animania                   | animania:kid_pygmy                                     | EntityKidPygmy               |  86 |
| Animania                   | animania:kit_chinchilla                                | EntityRabbitKitChinchilla    | 112 |
| Animania                   | animania:kit_cottontail                                | EntityRabbitKitCottontail    | 109 |
| Animania                   | animania:kit_dutch                                     | EntityRabbitKitDutch         | 115 |
| Animania                   | animania:kit_havana                                    | EntityRabbitKitHavana        | 118 |
| Animania                   | animania:kit_jack                                      | EntityRabbitKitJack          | 121 |
| Animania                   | animania:kit_lop                                       | EntityRabbitKitLop           | 130 |
| Animania                   | animania:kit_new_zealand                               | EntityRabbitKitNewZealand    | 124 |
| Animania                   | animania:kit_rex                                       | EntityRabbitKitRex           | 127 |
| Animania                   | animania:lamb_dorper                                   | EntityLambDorper             |  95 |
| Animania                   | animania:lamb_dorset                                   | EntityLambDorset             |  98 |
| Animania                   | animania:lamb_friesian                                 | EntityLambFriesian           |  89 |
| Animania                   | animania:lamb_jacob                                    | EntityLambJacob              | 104 |
| Animania                   | animania:lamb_merino                                   | EntityLambMerino             | 101 |
| Animania                   | animania:lamb_suffolk                                  | EntityLambSuffolk            |  92 |
| Animania                   | animania:mare_draft                                    | EntityMareDraftHorse         |   0 |
| Animania                   | animania:peachick_blue                                 | EntityPeachickBlue           | 146 |
| Animania                   | animania:peachick_charcoal                             | EntityPeachickCharcoal       | 131 |
| Animania                   | animania:peachick_opal                                 | EntityPeachickOpal           | 134 |
| Animania                   | animania:peachick_peach                                | EntityPeachickPeach          | 137 |
| Animania                   | animania:peachick_purple                               | EntityPeachickPurple         | 140 |
| Animania                   | animania:peachick_taupe                                | EntityPeachickTaupe          | 143 |
| Animania                   | animania:peachick_white                                | EntityPeachickWhite          | 149 |
| Animania                   | animania:peacock_blue                                  | EntityPeacockBlue            | 148 |
| Animania                   | animania:peacock_charcoal                              | EntityPeacockCharcoal        | 133 |
| Animania                   | animania:peacock_opal                                  | EntityPeacockOpal            | 136 |
| Animania                   | animania:peacock_peach                                 | EntityPeacockPeach           | 139 |
| Animania                   | animania:peacock_purple                                | EntityPeacockPurple          | 142 |
| Animania                   | animania:peacock_taupe                                 | EntityPeacockTaupe           | 145 |
| Animania                   | animania:peacock_white                                 | EntityPeacockWhite           | 151 |
| Animania                   | animania:peahen_blue                                   | EntityPeafowlBlue            | 147 |
| Animania                   | animania:peahen_charcoal                               | EntityPeafowlCharcoal        | 132 |
| Animania                   | animania:peahen_opal                                   | EntityPeafowlOpal            | 135 |
| Animania                   | animania:peahen_peach                                  | EntityPeafowlPeach           | 138 |
| Animania                   | animania:peahen_purple                                 | EntityPeafowlPurple          | 141 |
| Animania                   | animania:peahen_taupe                                  | EntityPeafowlTaupe           | 144 |
| Animania                   | animania:peahen_white                                  | EntityPeafowlWhite           | 150 |
| Animania                   | animania:piglet_duroc                                  | EntityPigletDuroc            |  23 |
| Animania                   | animania:piglet_hampshire                              | EntityPigletHampshire        |  20 |
| Animania                   | animania:piglet_large_black                            | EntityPigletLargeBlack       |  14 |
| Animania                   | animania:piglet_large_white                            | EntityPigletLargeWhite       |  17 |
| Animania                   | animania:piglet_old_spot                               | EntityPigletOldSpot          |  11 |
| Animania                   | animania:piglet_yorkshire                              | EntityPigletYorkshire        |   8 |
| Animania                   | animania:ram_dorper                                    | EntityRamDorper              |  97 |
| Animania                   | animania:ram_dorset                                    | EntityRamDorset              | 100 |
| Animania                   | animania:ram_friesian                                  | EntityRamFriesian            |  91 |
| Animania                   | animania:ram_jacob                                     | EntityRamJacob               | 106 |
| Animania                   | animania:ram_merino                                    | EntityRamMerino              | 103 |
| Animania                   | animania:ram_suffolk                                   | EntityRamSuffolk             |  94 |
| Animania                   | animania:rooster_leghorn                               | EntityRoosterLeghorn         |  28 |
| Animania                   | animania:rooster_orpington                             | EntityRoosterOrpington       |  31 |
| Animania                   | animania:rooster_plymouth_rock                         | EntityRoosterPlymouthRock    |  34 |
| Animania                   | animania:rooster_rhode_island_red                      | EntityRoosterRhodeIslandRed  |  37 |
| Animania                   | animania:rooster_wyandotte                             | EntityRoosterWyandotte       |  40 |
| Animania                   | animania:sow_duroc                                     | EntitySowDuroc               |  24 |
| Animania                   | animania:sow_hampshire                                 | EntitySowHampshire           |  21 |
| Animania                   | animania:sow_large_black                               | EntitySowLargeBlack          |  15 |
| Animania                   | animania:sow_large_white                               | EntitySowLargeWhite          |  18 |
| Animania                   | animania:sow_old_spot                                  | EntitySowOldSpot             |  12 |
| Animania                   | animania:sow_yorkshire                                 | EntitySowYorkshire           |   9 |
| Animania                   | animania:stallion_draft                                | EntityStallionDraftHorse     |   1 |
| Animania                   | animania:tiller                                        | EntityTiller                 | 154 |
| Animania                   | animania:toad                                          | EntityToad                   |  65 |
| Animania                   | animania:wagon                                         | EntityWagon                  | 152 |
| Applied Energistics 2      | appliedenergistics2:appeng.entity.entitychargedquartz  | EntityChargedQuartz          |  12 |
| Applied Energistics 2      | appliedenergistics2:appeng.entity.entitygrowingcrystal | EntityGrowingCrystal         |  13 |
| Applied Energistics 2      | appliedenergistics2:appeng.entity.entitysingularity    | EntitySingularity            |  11 |
| Applied Energistics 2      | appliedenergistics2:appeng.entity.entitytinytntprimed  | EntityTinyTNTPrimed          |  10 |
| Astikoor                   | astikoor:cargocart                                     | EntityCargoCart              |   0 |
| Astikoor                   | astikoor:plowcart                                      | EntityPlowCart               |   1 |
| Astral Sorcery             | astralsorcery:entitycrystal                            | EntityCrystal                |   2 |
| Astral Sorcery             | astralsorcery:entitycrystaltool                        | EntityCrystalTool            |   7 |
| Astral Sorcery             | astralsorcery:entityflare                              | EntityFlare                  |   3 |
| Astral Sorcery             | astralsorcery:entitygrapplinghook                      | EntityGrapplingHook          |   8 |
| Astral Sorcery             | astralsorcery:entityhighlighted                        | EntityItemHighlighted        |   0 |
| Astral Sorcery             | astralsorcery:entityilluminationspark                  | EntityIlluminationSpark      |   5 |
| Astral Sorcery             | astralsorcery:entityliquidspark                        | EntityLiquidSpark            |  10 |
| Astral Sorcery             | astralsorcery:entitynocturnalspark                     | EntityNocturnalSpark         |   6 |
| Astral Sorcery             | astralsorcery:entityobservatoryhelper                  | EntityObservatoryHelper      |  11 |
| Astral Sorcery             | astralsorcery:entityspectraltool                       | EntitySpectralTool           |   9 |
| Astral Sorcery             | astralsorcery:entitystarburst                          | EntityStarburst              |   4 |
| Astral Sorcery             | astralsorcery:entitystardust                           | EntityItemStardust           |   1 |
| Bamboozled                 | bamboozled:falling_salt_block                          | EntityFallingSaltBlock       |   0 |
| BiblioCraft                | bibliocraft:biblioseat                                 | EntitySeat                   |   0 |
| Botania                    | botania:babylon_weapon                                 | EntityBabylonWeapon          |  17 |
| Botania                    | botania:corporea_spark                                 | EntityCorporeaSpark          |  11 |
| Botania                    | botania:doppleganger                                   | EntityDoppleganger           |   5 |
| Botania                    | botania:ender_air_bottle                               | EntityEnderAirBottle         |  12 |
| Botania                    | botania:falling_star                                   | EntityFallingStar            |  18 |
| Botania                    | botania:flame_ring                                     | EntityFlameRing              |   3 |
| Botania                    | botania:magic_landmine                                 | EntityMagicLandmine          |   6 |
| Botania                    | botania:magic_missile                                  | EntityMagicMissile           |   9 |
| Botania                    | botania:mana_burst                                     | EntityManaBurst              |   0 |
| Botania                    | botania:mana_storm                                     | EntityManaStorm              |  16 |
| Botania                    | botania:pink_wither                                    | EntityPinkWither             |  14 |
| Botania                    | botania:pixie                                          | EntityPixie                  |   2 |
| Botania                    | botania:player_mover                                   | EntityPlayerMover            |  15 |
| Botania                    | botania:pool_minecart                                  | EntityPoolMinecart           |  13 |
| Botania                    | botania:signal_flare                                   | EntitySignalFlare            |   1 |
| Botania                    | botania:spark                                          | EntitySpark                  |   7 |
| Botania                    | botania:thorn_chakram                                  | EntityThornChakram           |  10 |
| Botania                    | botania:thrown_item                                    | EntityThrownItem             |   8 |
| Botania                    | botania:vine_ball                                      | EntityVineBall               |   4 |
| Clumps                     | clumps:xp_orb_big                                      | EntityXPOrbBig               |   0 |
| Combustive Fishing         | combustfish:golden_hook                                | EntityGoldenHook             |   2 |
| Combustive Fishing         | combustfish:thrown_combustive_cod                      | EntityThrownCombustiveCod    |   1 |
| Comforts                   | comforts:_entity_rest                                  | EntityRest                   |   1 |
| Computronics               | computronics:swarm                                     | EntitySwarm                  |   9 |
| Crossroads                 | crossroads:arm_ridable                                 | EntityArmRidable             |   2 |
| Crossroads                 | crossroads:bullet                                      | EntityBullet                 |   1 |
| Crossroads                 | crossroads:flame_core                                  | EntityFlameCore              |   6 |
| Crossroads                 | crossroads:flying_machine                              | EntityFlyingMachine          |   5 |
| Crossroads                 | crossroads:ghost_marker                                | EntityGhostMarker            |   7 |
| Crossroads                 | crossroads:nitro                                       | EntityNitro                  |   4 |
| Crossroads                 | crossroads:shell                                       | EntityShell                  |   3 |
| Cyberware                  | cyberware:cyberzombie                                  | EntityCyberZombie            |   0 |
| Electroblob's Wizardry     | ebwizardry:arc                                         | EntityArc                    |   2 |
| Electroblob's Wizardry     | ebwizardry:arrow_rain                                  | EntityArrowRain              |  20 |
| Electroblob's Wizardry     | ebwizardry:black_hole                                  | EntityBlackHole              |  10 |
| Electroblob's Wizardry     | ebwizardry:blaze_minion                                | EntityBlazeMinion            |   7 |
| Electroblob's Wizardry     | ebwizardry:blizzard                                    | EntityBlizzard               |  13 |
| Electroblob's Wizardry     | ebwizardry:bubble                                      | EntityBubble                 |  15 |
| Electroblob's Wizardry     | ebwizardry:darkness_orb                                | EntityDarknessOrb            |  23 |
| Electroblob's Wizardry     | ebwizardry:dart                                        | EntityDart                   |  34 |
| Electroblob's Wizardry     | ebwizardry:decay                                       | EntityDecay                  |  44 |
| Electroblob's Wizardry     | ebwizardry:decoy                                       | EntityDecoy                  |  51 |
| Electroblob's Wizardry     | ebwizardry:earthquake                                  | EntityEarthquake             |  46 |
| Electroblob's Wizardry     | ebwizardry:evil_wizard                                 | EntityEvilWizard             |  50 |
| Electroblob's Wizardry     | ebwizardry:fire_sigil                                  | EntityFireSigil              |  26 |
| Electroblob's Wizardry     | ebwizardry:firebolt                                    | EntityFirebolt               |  30 |
| Electroblob's Wizardry     | ebwizardry:firebomb                                    | EntityFirebomb               |  18 |
| Electroblob's Wizardry     | ebwizardry:force_arrow                                 | EntityForceArrow             |  33 |
| Electroblob's Wizardry     | ebwizardry:force_orb                                   | EntityForceOrb               |  19 |
| Electroblob's Wizardry     | ebwizardry:forcefield                                  | EntityForcefield             |  36 |
| Electroblob's Wizardry     | ebwizardry:frost_sigil                                 | EntityFrostSigil             |  27 |
| Electroblob's Wizardry     | ebwizardry:hailstorm                                   | EntityHailstorm              |  48 |
| Electroblob's Wizardry     | ebwizardry:healing_aura                                | EntityHealAura               |  25 |
| Electroblob's Wizardry     | ebwizardry:ice_charge                                  | EntityIceCharge              |  32 |
| Electroblob's Wizardry     | ebwizardry:ice_giant                                   | EntityIceGiant               |  40 |
| Electroblob's Wizardry     | ebwizardry:ice_lance                                   | EntityIceLance               |  47 |
| Electroblob's Wizardry     | ebwizardry:ice_shard                                   | EntityIceShard               |   6 |
| Electroblob's Wizardry     | ebwizardry:ice_spike                                   | EntityIceSpike               |  52 |
| Electroblob's Wizardry     | ebwizardry:ice_wraith                                  | EntityIceWraith              |   8 |
| Electroblob's Wizardry     | ebwizardry:lightning_arrow                             | EntityLightningArrow         |  29 |
| Electroblob's Wizardry     | ebwizardry:lightning_disc                              | EntityLightningDisc          |  38 |
| Electroblob's Wizardry     | ebwizardry:lightning_hammer                            | EntityHammer                 |  17 |
| Electroblob's Wizardry     | ebwizardry:lightning_pulse                             | EntityLightningPulse         |  53 |
| Electroblob's Wizardry     | ebwizardry:lightning_sigil                             | EntityLightningSigil         |  28 |
| Electroblob's Wizardry     | ebwizardry:lightning_wraith                            | EntityLightningWraith        |   9 |
| Electroblob's Wizardry     | ebwizardry:magic_missile                               | EntityMagicMissile           |   1 |
| Electroblob's Wizardry     | ebwizardry:magic_slime                                 | EntityMagicSlime             |  35 |
| Electroblob's Wizardry     | ebwizardry:meteor                                      | EntityMeteor                 |  12 |
| Electroblob's Wizardry     | ebwizardry:phoenix                                     | EntityPhoenix                |  42 |
| Electroblob's Wizardry     | ebwizardry:poison_bomb                                 | EntityPoisonBomb             |  31 |
| Electroblob's Wizardry     | ebwizardry:ring_of_fire                                | EntityFireRing               |  37 |
| Electroblob's Wizardry     | ebwizardry:shadow_wraith                               | EntityShadowWraith           |  22 |
| Electroblob's Wizardry     | ebwizardry:shield                                      | EntityShield                 |  11 |
| Electroblob's Wizardry     | ebwizardry:silverfish_minion                           | EntitySilverfishMinion       |  43 |
| Electroblob's Wizardry     | ebwizardry:skeleton_minion                             | EntitySkeletonMinion         |   3 |
| Electroblob's Wizardry     | ebwizardry:smoke_bomb                                  | EntitySmokeBomb              |  49 |
| Electroblob's Wizardry     | ebwizardry:spark                                       | EntitySpark                  |  21 |
| Electroblob's Wizardry     | ebwizardry:spark_bomb                                  | EntitySparkBomb              |   4 |
| Electroblob's Wizardry     | ebwizardry:spider_minion                               | EntitySpiderMinion           |  24 |
| Electroblob's Wizardry     | ebwizardry:spirit_horse                                | EntitySpiritHorse            |  41 |
| Electroblob's Wizardry     | ebwizardry:spirit_wolf                                 | EntitySpiritWolf             |   5 |
| Electroblob's Wizardry     | ebwizardry:storm_elemental                             | EntityStormElemental         |  45 |
| Electroblob's Wizardry     | ebwizardry:thunderbolt                                 | EntityThunderbolt            |  39 |
| Electroblob's Wizardry     | ebwizardry:tornado                                     | EntityTornado                |  16 |
| Electroblob's Wizardry     | ebwizardry:wither_skeleton_minion                      | EntityWitherSkeletonMinion   |  54 |
| Electroblob's Wizardry     | ebwizardry:wizard                                      | EntityWizard                 |  14 |
| Electroblob's Wizardry     | ebwizardry:zombie_minion                               | EntityZombieMinion           |   0 |
| Embers Rekindled           | embers:ancient_golem                                   | EntityAncientGolem           |   2 |
| Embers Rekindled           | embers:ember_light                                     | EntityEmberLight             |   3 |
| Embers Rekindled           | embers:ember_packet                                    | EntityEmberPacket            |   0 |
| Embers Rekindled           | embers:ember_projectile                                | EntityEmberProjectile        |   1 |
| Erebus                     | erebus:erebus.animated_bamboo_crate                    | EntityAnimatedBambooCrate    |  52 |
| Erebus                     | erebus:erebus.animated_block                           | EntityAnimatedBlock          |  50 |
| Erebus                     | erebus:erebus.animated_chest                           | EntityAnimatedChest          |  51 |
| Erebus                     | erebus:erebus.antlion                                  | EntityAntlion                |  14 |
| Erebus                     | erebus:erebus.antlion_boss                             | EntityAntlionBoss            |  57 |
| Erebus                     | erebus:erebus.antlion_mini_boss                        | EntityAntlionMiniBoss        |  35 |
| Erebus                     | erebus:erebus.bed_bug                                  | EntityBedBug                 |  61 |
| Erebus                     | erebus:erebus.beetle                                   | EntityBeetle                 |   3 |
| Erebus                     | erebus:erebus.beetle_larva                             | EntityBeetleLarva            |   0 |
| Erebus                     | erebus:erebus.black_ant                                | EntityBlackAnt               |  41 |
| Erebus                     | erebus:erebus.black_widow                              | EntityBlackWidow             |  15 |
| Erebus                     | erebus:erebus.bog_maw                                  | EntityBogMaw                 |  47 |
| Erebus                     | erebus:erebus.bombardier_beetle                        | EntityBombardierBeetle       |  17 |
| Erebus                     | erebus:erebus.bombardier_beetle_larva                  | EntityBombardierBeetleLarva  |  59 |
| Erebus                     | erebus:erebus.bot_fly                                  | EntityBotFly                 |   7 |
| Erebus                     | erebus:erebus.bot_fly_larva                            | EntityBotFlyLarva            |  28 |
| Erebus                     | erebus:erebus.centipede                                | EntityCentipede              |   2 |
| Erebus                     | erebus:erebus.chameleon_tick                           | EntityChameleonTick          |  36 |
| Erebus                     | erebus:erebus.cicada                                   | EntityCicada                 |  32 |
| Erebus                     | erebus:erebus.crop_weevil                              | EntityCropWeevil             |  30 |
| Erebus                     | erebus:erebus.crushroom                                | EntityCrushroom              |  40 |
| Erebus                     | erebus:erebus.dragon_fly                               | EntityDragonfly              |  25 |
| Erebus                     | erebus:erebus.fire_ant                                 | EntityFireAnt                |  22 |
| Erebus                     | erebus:erebus.fire_ant_soldier                         | EntityFireAntSoldier         |  33 |
| Erebus                     | erebus:erebus.fire_resistent_item                      | EntityFireResistent          |  54 |
| Erebus                     | erebus:erebus.fly                                      | EntityFly                    |   4 |
| Erebus                     | erebus:erebus.fungal_weevil                            | EntityFungalWeevil           |  29 |
| Erebus                     | erebus:erebus.gas_vent                                 | EntityGasVent                |  79 |
| Erebus                     | erebus:erebus.glow_worm                                | EntityGlowWorm               |  16 |
| Erebus                     | erebus:erebus.goo_ball                                 | EntityGooBall                |  74 |
| Erebus                     | erebus:erebus.grasshopper                              | EntityGrasshopper            |  10 |
| Erebus                     | erebus:erebus.honey_pot_ant                            | EntityHoneyPotAnt            |  58 |
| Erebus                     | erebus:erebus.jumping_spider                           | EntityJumpingSpider          |  21 |
| Erebus                     | erebus:erebus.lava_web_spider                          | EntityLavaWebSpider          |  34 |
| Erebus                     | erebus:erebus.locust                                   | EntityLocust                 |  11 |
| Erebus                     | erebus:erebus.magma_crawler                            | EntityMagmaCrawler           |  49 |
| Erebus                     | erebus:erebus.midge_swarm                              | EntityMidgeSwarm             |  38 |
| Erebus                     | erebus:erebus.money_spider                             | EntityMoneySpider            |  19 |
