+-------------------------------------+---------------------------------------------------------------------------------------+-----------+--------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                                                                         |
| of the Block class in question. The actual final values may be different                                                                               |
| for different states of the block, or they may depend on a TileEntity etc.                                                                             |
+-------------------------------------+---------------------------------------------------------------------------------------+-----------+--------------+
| Mod name                            | Registry name                                                                         |  Hardness |   Resistance |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_ghast                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_green                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_grey                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_lightblue                                                  |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_lightgrey                                                  |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_lime                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_magenta                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_orange                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_pink                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_pumpkin                                                    |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_purple                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_red                                                        |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_skeleton                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_slime                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_spider                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_squid                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_white                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_yellow                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle22_zombie                                                     |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle23_castiron                                                   |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle23_gold                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle23_iron                                                       |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle24_white                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle25_white                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle_creeper                                                      |      1.00 |         5.00 |
| ATLCraft Candles Mod                | atlcraft:atlcraft_candle_creeperhead                                                  |      1.00 |         5.00 |
