+-----+--------------------------------------------+-------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+-------------------------+-------------------------+-------------------------+
|  ID | Registry name                              | Biome name              |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  | waterColorMultiplier    | grassColorMultiplier    | foliageColorMultiplier  |
|  73 | nt:pinelands                               | Pinelands               |    0.25 | MEDIUM   | 0.80 | false | false   | COOL       | HILLS                                                             | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0x006CB867 (   7125095) | 0x006CB867 (   7125095) |
|  74 | nt:tundra                                  | Tundra                  |    0.20 | MEDIUM   | 0.50 | false | false   | ICY        | COLD                                                              | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0x00B2893A (  11700538) | 0x00B2893A (  11700538) |
|  75 | nt:cold_forest                             | Cold Forest             |    0.00 | COLD     | 0.80 |  true | false   | ICY        | FOREST                                                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x00A1B269 (  10596969) | 0x00A1B269 (  10596969) |
|  76 | nt:cold_birch_forest                       | Cold Birch Forest       |    0.00 | COLD     | 0.80 |  true | false   | ICY        | FOREST                                                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x00A1B269 (  10596969) | 0x00A1B269 (  10596969) |
|  77 | nt:cold_roofed_forest                      | Cold Roofed Forest      |    0.00 | COLD     | 0.80 |  true | false   | ICY        | FOREST                                                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x00A1B269 (  10596969) | 0x00A1B269 (  10596969) |
|  78 | nt:cold_mega_taiga                         | Cold Mega Taiga         |    0.00 | COLD     | 0.80 |  true | false   | ICY        | CONIFEROUS                                                        | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x00A1B269 (  10596969) | 0x00A1B269 (  10596969) |
|  79 | nt:cold_mega_spruce_taiga                  | Cold Mega Spruce Taiga  |    0.00 | COLD     | 0.80 |  true | false   | ICY        | CONIFEROUS                                                        | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x00A1B269 (  10596969) | 0x00A1B269 (  10596969) |
|  80 | nt:tundra_icy                              | Icy Tundra              |   -1.00 | COLD     | 0.50 |  true | false   | ICY        | COLD                                                              | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0x00B2893A (  11700538) | 0x00B2893A (  11700538) |
|  81 | nt:snowy_pine_forest                       | Snowy Pine Forest       |   -0.50 | COLD     | 0.40 |  true | false   | ICY        | CONIFEROUS                                                        | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x00567C48 (   5667912) | 0x00567C48 (   5667912) |
|  82 | nt:alps                                    | Alps                    |    0.20 | MEDIUM   | 0.30 | false | false   | ICY        | MOUNTAIN                                                          | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0x0045A147 (   4563271) | 0x0045A147 (   4563271) |
|  83 | appliedenergistics2:storage_biome          | Storage Cell            | -100.00 | COLD     | 0.50 | false | false   |            | COLD, PLAINS                                                      | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  84 | thaumcraft:magical_forest                  | Magical Forest          |    0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | FOREST, MAGICAL                                                   | stronghold                 | 0x000077EE (     30702) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|  85 | thaumcraft:eerie                           | Eerie                   |    0.80 | MEDIUM   | 0.50 | false | false   |            | MAGICAL, SPOOKY                                                   | stronghold                 | 0x002E535F (   3035999) | 0xFF8ABF57 (  -7684265) | 0xFF6DAE2C (  -9589204) |
|  86 | thaumcraft:eldritch                        | Outer Lands             |    0.80 | MEDIUM   | 0.20 | false | false   |            | END, MAGICAL, SPOOKY                                              | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFA2BA5D (  -6112675) | 0xFF8BA835 (  -7624651) |
|  87 | twilightforest:twilight_lake               | Twilight Lake           |    0.66 | MEDIUM   | 1.00 | false | false   |            | OCEAN, WATER                                                      |                            | 0x00FFFFFF (  16777215) | 0xFF70C15B (  -9387685) | 0xFF4CB031 ( -11751375) |
|  88 | twilightforest:twilight_forest             | Twilight Forest         |    0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST                                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  89 | twilightforest:dense_twilight_forest       | Dense Twilight Forest   |    0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST                                                     | stronghold                 | 0x00005522 (     21794) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  90 | twilightforest:twilight_highlands          | Twilight Highlands      |    0.40 | MEDIUM   | 0.70 | false | false   |            | CONIFEROUS, FOREST, MOUNTAIN                                      | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF88B977 (  -7816841) | 0xFF6AA755 (  -9787563) |
|  91 | twilightforest:mushroom_forest             | Mushroom Forest         |    0.80 | MEDIUM   | 0.80 | false | false   |            | FOREST, MUSHROOM                                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF72C250 (  -9256368) | 0xFF4EB224 ( -11619804) |
|  92 | twilightforest:twilight_swamp              | Twilight Swamp          |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WET                                                        |                            | 0x00E0FFAE (  14745518) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
|  93 | twilightforest:twilight_stream             | Twilight Stream         |    0.50 | MEDIUM   | 0.10 | false | false   |            | RIVER, WATER                                                      |                            | 0x00FFFFFF (  16777215) | 0xFF9CB774 (  -6506636) | 0xFF83A352 (  -8150190) |
|  94 | twilightforest:snowy_forest                | Snowy Forest            |    0.09 | COLD     | 0.90 |  true | false   |            | COLD, CONIFEROUS, FOREST, SNOWY                                   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF83B690 (  -8145264) | 0xFF64A273 ( -10182029) |
|  95 | twilightforest:twilight_glacier            | Twilight Glacier        |    0.00 | COLD     | 0.10 |  true | false   |            | COLD, SNOWY, WASTELAND                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  96 | twilightforest:twilight_clearing           | Twilight Clearing       |    0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, SPARSE                                                    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|  97 | twilightforest:oak_savannah                | Oak Savanna             |    0.90 | MEDIUM   | 0.00 | false | false   |            | FOREST, SPARSE                                                    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFB9B75B (  -4606117) | 0xFFA6A432 (  -5856206) |
|  98 | twilightforest:firefly_forest              | Firefly Forest          |    0.50 | MEDIUM   | 1.00 | false | false   |            | FOREST, LUSH                                                      | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF7CBD6B (  -8602261) | 0xFF5BAB46 ( -10769594) |
|  99 | twilightforest:deep_mushroom_forest        | Deep Mushroom Forest    |    0.80 | MEDIUM   | 1.00 | false | false   |            | FOREST, MUSHROOM                                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF61C64B ( -10369461) | 0xFF3BB61E ( -12863970) |
| 100 | twilightforest:dark_forest                 | Dark Forest             |    0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, SPOOKY                                             | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
| 101 | twilightforest:enchanted_forest            | Enchanted Forest        |    0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, MAGICAL                                                   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
| 102 | twilightforest:fire_swamp                  | Fire Swamp              |    1.00 | WARM     | 0.40 | false | false   |            | HOT, SWAMP, WASTELAND                                             | stronghold                 | 0x006C2C2C (   7089196) | 0xFF8EC048 (  -7421880) | 0xFF72AF1A (  -9261286) |
