+-----+--------------------------------------------+-------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name              |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  |
|  49 | nt:dry_forest_hills                        | Dry Forest Hills        |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold          |
|  50 | nt:springs                                 | Springs                 |    1.00 | WARM     | 0.50 | false | false   | WARM       | WET                                                               | spawn, stronghold          |
|  51 | nt:mixed_forest                            | Mixed Forest            |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold          |
|  52 | nt:dense_mixed_forest                      | Dense Mixed Forest      |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold          |
|  53 | nt:blossom forest                          | Blossom Forest          |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold, village |
|  54 | nt:blossom forest hills                    | Blossom Forest Hills    |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | spawn, stronghold          |
|  55 | nt:estuary                                 | Estuary                 |    0.80 | MEDIUM   | 0.90 | false | false   | WARM       | RIVER, SWAMP, WATER                                               | spawn, stronghold          |
|  56 | nt:meadow                                  | Meadow                  |    0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                                            | spawn, stronghold, village |
|  57 | nt:birch_hills                             | Birch Hills             |    0.80 | MEDIUM   | 0.40 | false | false   | WARM       | HILLS                                                             | spawn, stronghold, village |
|  58 | nt:fungal_jungle                           | Fungal Jungle           |    0.95 | MEDIUM   | 0.90 | false | false   | WARM       | JUNGLE, MUSHROOM                                                  | spawn, stronghold, village |
|  59 | nt:lake                                    | Lake                    |    0.80 | MEDIUM   | 0.40 | false | false   | WARM       | CONIFEROUS, WATER                                                 | spawn, stronghold          |
|  60 | nt:sand_dunes                              | Sand Dunes              |    2.00 | WARM     | 0.00 | false | false   | DESERT     | SANDY                                                             | spawn, stronghold, village |
|  61 | nt:red_sand_dunes                          | Red Sand Dunes          |    2.00 | WARM     | 0.00 | false | false   | DESERT     | SANDY                                                             | spawn, stronghold, village |
|  62 | nt:sahel                                   | Sahel                   |    0.95 | MEDIUM   | 0.90 | false | false   | DESERT     | SANDY                                                             | spawn, stronghold, village |
|  63 | nt:outback                                 | Outback                 |    2.00 | WARM     | 0.90 | false | false   | DESERT     | SAVANNA                                                           | spawn, stronghold, village |
|  64 | nt:savanna_scrub                           | Savanna Scrub           |    1.20 | WARM     | 0.00 | false | false   | DESERT     | SAVANNA                                                           | spawn, stronghold, village |
|  65 | nt:claylands                               | Claylands               |    0.80 | MEDIUM   | 0.40 | false | false   | DESERT     | SAVANNA                                                           | spawn, stronghold, village |
|  66 | nt:rocklands                               | Rocklands               |    0.80 | MEDIUM   | 0.40 | false | false   | DESERT     | SAVANNA                                                           | spawn, stronghold, village |
|  67 | nt:taiga_plains                            | Taiga Plains            |    0.25 | MEDIUM   | 0.80 | false | false   | COOL       | PLAINS                                                            | spawn, stronghold, village |
|  68 | nt:autumn_taiga                            | Autumn Taiga            |    0.25 | MEDIUM   | 0.80 | false | false   | COOL       | CONIFEROUS                                                        | spawn, stronghold, village |
|  69 | nt:autumn_taiga_hills                      | Autumn Taiga Hills      |    0.25 | MEDIUM   | 0.80 | false | false   | COOL       | CONIFEROUS                                                        | spawn, stronghold          |
|  70 | nt:cliffs                                  | Cliffs                  |    0.70 | MEDIUM   | 0.30 | false | false   | COOL       | HILLS                                                             | spawn, stronghold          |
|  71 | nt:mega_autumn_taiga                       | Mega Autumn Taiga       |    0.25 | MEDIUM   | 0.80 | false | false   | COOL       | CONIFEROUS                                                        | spawn, stronghold          |
|  72 | nt:pine_forest                             | Pine Forest             |    0.25 | MEDIUM   | 0.80 | false | false   | COOL       | CONIFEROUS                                                        | spawn, stronghold          |
|  73 | nt:pinelands                               | Pinelands               |    0.25 | MEDIUM   | 0.80 | false | false   | COOL       | HILLS                                                             | spawn, stronghold, village |
|  74 | nt:tundra                                  | Tundra                  |    0.20 | MEDIUM   | 0.50 | false | false   | ICY        | COLD                                                              | spawn, stronghold, village |
|  75 | nt:cold_forest                             | Cold Forest             |    0.00 | COLD     | 0.80 |  true | false   | ICY        | FOREST                                                            | spawn, stronghold          |
|  76 | nt:cold_birch_forest                       | Cold Birch Forest       |    0.00 | COLD     | 0.80 |  true | false   | ICY        | FOREST                                                            | spawn, stronghold          |
|  77 | nt:cold_roofed_forest                      | Cold Roofed Forest      |    0.00 | COLD     | 0.80 |  true | false   | ICY        | FOREST                                                            | spawn, stronghold          |
|  78 | nt:cold_mega_taiga                         | Cold Mega Taiga         |    0.00 | COLD     | 0.80 |  true | false   | ICY        | CONIFEROUS                                                        | spawn, stronghold          |
|  79 | nt:cold_mega_spruce_taiga                  | Cold Mega Spruce Taiga  |    0.00 | COLD     | 0.80 |  true | false   | ICY        | CONIFEROUS                                                        | spawn, stronghold          |
|  80 | nt:tundra_icy                              | Icy Tundra              |   -1.00 | COLD     | 0.50 |  true | false   | ICY        | COLD                                                              | spawn, stronghold, village |
|  81 | nt:snowy_pine_forest                       | Snowy Pine Forest       |   -0.50 | COLD     | 0.40 |  true | false   | ICY        | CONIFEROUS                                                        | spawn, stronghold          |
|  82 | nt:alps                                    | Alps                    |    0.20 | MEDIUM   | 0.30 | false | false   | ICY        | MOUNTAIN                                                          | spawn, stronghold          |
|  83 | appliedenergistics2:storage_biome          | Storage Cell            | -100.00 | COLD     | 0.50 | false | false   |            | COLD, PLAINS                                                      | stronghold                 |
|  84 | thaumcraft:magical_forest                  | Magical Forest          |    0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | FOREST, MAGICAL                                                   | stronghold                 |
|  85 | thaumcraft:eerie                           | Eerie                   |    0.80 | MEDIUM   | 0.50 | false | false   |            | MAGICAL, SPOOKY                                                   | stronghold                 |
|  86 | thaumcraft:eldritch                        | Outer Lands             |    0.80 | MEDIUM   | 0.20 | false | false   |            | END, MAGICAL, SPOOKY                                              | stronghold                 |
|  87 | twilightforest:twilight_lake               | Twilight Lake           |    0.66 | MEDIUM   | 1.00 | false | false   |            | OCEAN, WATER                                                      |                            |
|  88 | twilightforest:twilight_forest             | Twilight Forest         |    0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST                                                            | stronghold                 |
|  89 | twilightforest:dense_twilight_forest       | Dense Twilight Forest   |    0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST                                                     | stronghold                 |
|  90 | twilightforest:twilight_highlands          | Twilight Highlands      |    0.40 | MEDIUM   | 0.70 | false | false   |            | CONIFEROUS, FOREST, MOUNTAIN                                      | stronghold                 |
|  91 | twilightforest:mushroom_forest             | Mushroom Forest         |    0.80 | MEDIUM   | 0.80 | false | false   |            | FOREST, MUSHROOM                                                  | stronghold                 |
|  92 | twilightforest:twilight_swamp              | Twilight Swamp          |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WET                                                        |                            |
|  93 | twilightforest:twilight_stream             | Twilight Stream         |    0.50 | MEDIUM   | 0.10 | false | false   |            | RIVER, WATER                                                      |                            |
|  94 | twilightforest:snowy_forest                | Snowy Forest            |    0.09 | COLD     | 0.90 |  true | false   |            | COLD, CONIFEROUS, FOREST, SNOWY                                   | stronghold                 |
|  95 | twilightforest:twilight_glacier            | Twilight Glacier        |    0.00 | COLD     | 0.10 |  true | false   |            | COLD, SNOWY, WASTELAND                                            | stronghold                 |
|  96 | twilightforest:twilight_clearing           | Twilight Clearing       |    0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, SPARSE                                                    | stronghold                 |
|  97 | twilightforest:oak_savannah                | Oak Savanna             |    0.90 | MEDIUM   | 0.00 | false | false   |            | FOREST, SPARSE                                                    | stronghold                 |
|  98 | twilightforest:firefly_forest              | Firefly Forest          |    0.50 | MEDIUM   | 1.00 | false | false   |            | FOREST, LUSH                                                      | stronghold                 |
|  99 | twilightforest:deep_mushroom_forest        | Deep Mushroom Forest    |    0.80 | MEDIUM   | 1.00 | false | false   |            | FOREST, MUSHROOM                                                  | stronghold                 |
| 100 | twilightforest:dark_forest                 | Dark Forest             |    0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, SPOOKY                                             | stronghold                 |
| 101 | twilightforest:enchanted_forest            | Enchanted Forest        |    0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, MAGICAL                                                   | stronghold                 |
| 102 | twilightforest:fire_swamp                  | Fire Swamp              |    1.00 | WARM     | 0.40 | false | false   |            | HOT, SWAMP, WASTELAND                                             | stronghold                 |
| 103 | twilightforest:dark_forest_center          | Dark Forest Center      |    0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, FOREST, MAGICAL, SPOOKY                                    | stronghold                 |
| 104 | twilightforest:highlands_center            | Highlands Center        |    0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, MESA, WASTELAND                                        | stronghold                 |
| 105 | twilightforest:thornlands                  | Thornlands              |    0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, HILLS, WASTELAND                                       | stronghold                 |
| 106 | erebus:underground_jungle                  | Underground Jungle      |    0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, HOT, JUNGLE, LUSH                                          | stronghold                 |
| 107 | erebus:volcanic_desert                     | Volcanic Desert         |    0.50 | MEDIUM   | 0.50 | false | false   |            | DRY, HOT, SANDY                                                   | stronghold                 |
| 108 | erebus:subterranean_savannah               | Subterranean Savannah   |    0.50 | MEDIUM   | 0.50 | false | false   |            | SAVANNA                                                           | stronghold                 |
| 109 | erebus:elysian_fields                      | Elysian Fields          |    0.50 | MEDIUM   | 0.50 | false | false   |            | LUSH, PLAINS                                                      | stronghold                 |
| 110 | erebus:ulterior_outback                    | Ulterior Outback        |    0.50 | MEDIUM   | 0.50 | false | false   |            | DRY, HOT, SANDY                                                   | stronghold                 |
| 111 | erebus:fungal_forest                       | Fungal Forest           |    0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, MUSHROOM, SPOOKY                                           | stronghold                 |
| 112 | erebus:submerged_swamp                     | Submerged Swamp         |    0.50 | MEDIUM   | 0.50 | false | false   |            | HOT, SWAMP, WATER, WET                                            | stronghold                 |
| 113 | erebus:fields_sub_forest                   | Elysian Forest          |    0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, LUSH, MAGICAL                                             | stronghold                 |
| 114 | erebus:petrified_forest                    | Petrified Forest        |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD, DRY, HOT                                                    | stronghold                 |
| 115 | iceandfire:glacier                         | Glacier                 |    0.00 | COLD     | 0.50 |  true | false   | COOL       | COLD, DEAD, SNOWY, SPARSE, WASTELAND                              | spawn, stronghold          |
| 116 | integrateddynamics:biome_meneglin          | Meneglin                |    0.75 | MEDIUM   | 0.25 | false | false   | COOL       | COLD, MAGICAL                                                     | spawn, stronghold, village |
| 117 | nex:ruthless_sands                         | Ruthless Sands          |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, PLAINS, SANDY, SAVANNA                          | stronghold                 |
| 118 | nex:fungi_forest                           | Fungi Forest            |    1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MUSHROOM, NETHER, PLAINS, SAVANNA                       | stronghold                 |
| 119 | nex:torrid_wasteland                       | Torrid Wasteland        |    4.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, PLAINS, SAVANNA, WASTELAND                      | stronghold                 |
| 120 | nex:arctic_abyss                           | Arctic Abyss            |    0.00 | COLD     | 0.00 | false | false   |            | COLD, DRY, NETHER, PLAINS, WET                                    | stronghold                 |
| 121 | nuclearcraft:nuclear_wasteland             | Nuclear Wasteland       |    2.00 | WARM     | 0.50 | false | false   | DESERT     | DEAD, DRY, HOT, PLAINS, SAVANNA, SPARSE, WASTELAND                | spawn, stronghold          |
| 122 | sugiforest:sugi_forest                     | Sugi Forest             |    0.25 | MEDIUM   | 0.90 | false | false   | WARM       | DENSE, FOREST, HILLS, WET                                         | spawn, stronghold          |
| 123 | traverse:autumnal_woods                    | Autumnal Woods          |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST                                                            | spawn, stronghold          |
| 124 | traverse:woodlands                         | Woodlands               |    0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                                            | spawn, stronghold, village |
| 125 | traverse:mini_jungle                       | Mini Jungle             |    0.95 | MEDIUM   | 0.90 | false | false   | WARM       | DENSE, HOT, JUNGLE, WET                                           | spawn                      |
| 126 | traverse:meadow                            | Meadow                  |    0.80 | MEDIUM   | 0.70 | false | false   | COOL       | LUSH, PLAINS, WET                                                 | spawn, stronghold, village |
| 127 | minecraft:void                             | The Void                |    0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                                              | stronghold                 |
| 128 | traverse:green_swamp                       | Lush Swamp              |    0.80 | MEDIUM   | 0.50 | false | false   | WARM       | LUSH, SWAMP, WET                                                  | spawn                      |
| 129 | minecraft:mutated_plains                   | Sunflower Plains        |    0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, RARE                                                      | stronghold                 |
| 130 | minecraft:mutated_desert                   | Desert M                |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, RARE, SANDY                                             | stronghold                 |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M         |    0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold                 |
| 132 | minecraft:mutated_forest                   | Flower Forest           |    0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS, RARE                                               | stronghold                 |
| 133 | minecraft:mutated_taiga                    | Taiga M                 |    0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE                          | stronghold                 |
| 134 | minecraft:mutated_swampland                | Swampland M             |    0.80 | MEDIUM   | 0.90 | false | false   |            | HILLS, RARE, SWAMP, WET                                           |                            |
| 135 | traverse:red_desert                        | Red Desert              |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, SANDY                                                   | spawn, stronghold, village |
| 136 | traverse:temperate_rainforest              | Temperate Rainforest    |    0.60 | MEDIUM   | 0.90 | false | false   | COOL       | CONIFEROUS, FOREST                                                | spawn, stronghold          |
| 137 | traverse:badlands                          | Badlands                |    0.60 | MEDIUM   | 0.10 | false | false   | WARM       | DRY, HOT, PLAINS, SPARSE                                          | spawn, stronghold, village |
| 138 | traverse:mountainous_desert                | Mountainous Desert      |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, MOUNTAIN, SANDY                                         | spawn, stronghold          |
| 139 | traverse:rocky_plateau                     | Rocky Plateau           |    0.80 | MEDIUM   | 0.20 | false | false   | WARM       | HOT, MOUNTAIN                                                     | spawn, stronghold, village |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes       |    0.00 | COLD     | 0.50 |  true | false   |            | COLD, HILLS, RARE, SNOWY                                          | stronghold                 |
| 141 | traverse:forested_hills                    | Forested Hills          |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | spawn, stronghold          |
| 142 | traverse:birch_forested_hills              | Birch Forested Hills    |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | spawn, stronghold          |
| 143 | traverse:autumnal_wooded_hills             | Autumnal Wooded Hills   |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | spawn, stronghold          |
| 144 | traverse:cliffs                            | Cliffs                  |    0.40 | MEDIUM   | 1.20 | false | false   | COOL       | COLD, HILLS, MOUNTAIN                                             | spawn, stronghold          |
| 145 | traverse:glacier                           | Glacier                 |    0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                                             | spawn, stronghold          |
| 146 | traverse:glacier_spikes                    | Glacier Spikes          |    0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                                             | spawn, stronghold          |
| 147 | traverse:snowy_coniferous_forest           | Snowy Coniferous Forest |    0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                                   | spawn, stronghold          |
| 148 | traverse:lush_hills                        | Lush Hills              |    0.50 | MEDIUM   | 0.80 | false | false   | COOL       | HILLS, LUSH, SPARSE, WET                                          | spawn, stronghold, village |
| 149 | minecraft:mutated_jungle                   | Jungle M                |    0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET                           | stronghold                 |
| 150 | traverse:desert_shrubland                  | Desert Shrubland        |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD, DRY, HOT, SANDY                                             | spawn, stronghold, village |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M            |    0.95 | MEDIUM   | 0.80 | false | false   |            | HILLS, HOT, JUNGLE, RARE, SPARSE                                  | stronghold                 |
| 152 | traverse:thicket                           | Thicket                 |    0.80 | MEDIUM   | 0.30 | false | false   | WARM       | DENSE, FOREST                                                     | spawn, stronghold          |
| 153 | traverse:arid_highland                     | Arid Highland           |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HILLS, HOT, MOUNTAIN, SPARSE                                 | spawn, stronghold, village |
| 154 | traverse:rocky_plains                      | Rocky Plains            |    0.90 | MEDIUM   | 0.70 | false | false   | COOL       | HILLS, PLAINS, SPARSE                                             | spawn, stronghold, village |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M          |    0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, HILLS, RARE, SUPER_BIRCH_TREES, THEMED_TREES       | stronghold                 |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M    |    0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SUPER_BIRCH_TREES, THEMED_TREES    | stronghold                 |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M         |    0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY                             | stronghold                 |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M            |   -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY                   | stronghold                 |
| 159 | advancedrocketry:moon                      | Moon                    |    0.30 | MEDIUM   | 0.00 | false | false   |            | DRY, PLAINS                                                       | stronghold                 |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga       |    0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES        | stronghold                 |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M   |    0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES | stronghold                 |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M        |    0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold                 |
| 163 | minecraft:mutated_savanna                  | Savanna M               |    1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE                         | stronghold                 |
